Title,Price,Location,Kilometers,Link
2000 Mazda MX-5,"$13,500","Whangarei, Northland","70,500 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060830371?rsqid=d359cf43503043148e19eb1dd0341761-001
1990 Mazda MX-5,"$13,925","Christchurch City, Canterbury","168,371 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4997460311?rsqid=98815de141d4458c84a67f23eb03e333-001
1991 Mazda MX-5,"$14,990","Nelson, Nelson Bays","102,960 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5051808272?rsqid=98815de141d4458c84a67f23eb03e333-001
1990 Mazda MX-5,"$15,500","Palmerston North, Manawatu","194,559 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5015551045?rsqid=98815de141d4458c84a67f23eb03e333-001
2007 Mazda MX-5,"$15,800","Marton, Manawatu","104,600 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5058871029?rsqid=98815de141d4458c84a67f23eb03e333-001
2006 Mazda MX-5,"$16,600","Hibiscus Coast, Auckland","63,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060081517?rsqid=98815de141d4458c84a67f23eb03e333-001
2010 Mazda MX-5,"$18,500","Upper Hutt City, Wellington","17,500 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5060527650?rsqid=98815de141d4458c84a67f23eb03e333-001
2012 Mazda MX-5,"$20,000","Auckland City, Auckland","89,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5061745255?rsqid=98815de141d4458c84a67f23eb03e333-001
1999 Mazda MX-5,"$20,000","Hamilton, Waikato","22,187 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5064005592?rsqid=98815de141d4458c84a67f23eb03e333-001
2015 Mazda MX-5,"$20,990",Bay of Plenty,"111,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4901714925?rsqid=98815de141d4458c84a67f23eb03e333-001
2015 Mazda MX-5,"$21,977","Hamilton, Waikato","113,464 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4739989024?rsqid=98815de141d4458c84a67f23eb03e333-001
2016 Mazda MX-5,"$21,995","Auckland, Auckland","145,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4775083140?rsqid=98815de141d4458c84a67f23eb03e333-001
2012 Mazda MX-5,"$24,950","Christchurch, Canterbury","36,826 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5007536378?rsqid=98815de141d4458c84a67f23eb03e333-001
